lambda,xs_fb
0.0,216377.66113249687
0.1,226702.831377953
0.11,228914.96811683074
0.12,231218.73425596135
0.13,233883.58106829613
0.14,236684.40178735496
0.15,239652.5649790383
0.16,242984.46965163518
0.17,246356.79543636725
0.18,250146.3503942429
0.19,254203.16635411943
0.2,258372.1729382833
0.3,314914.2310800496
0.4,403001.51104303624
0.5,532578.6284740663
0.6,718242.4529855131
0.7,980569.7728613536
0.8,1347668.2802340954
0.9,1858807.2301091454
1.0,2567374.9552390813
10.0,nan
